word,phonetic,pos,meaning,example,example_trans,image_url
cancel,'kænsl,,取消， 撤销， 删去 (vt.),,,
numerous,'njuːmərəs,,众多的 (adj.),,,
surgeon,'sɜːdʒən,,外科医生 (n.),,,
analyse,'ænəlaɪz,,分析； 分解， 解析 (vt.),,,
abrupt,ə'brʌpt,,突然的， 意外的； 唐突的， 鲁莽的 (adj.),,,
spacious,'speɪʃəs,,宽广的， 宽敞的 (adj.),,,
disapproval,ˌdɪsə'pruːvl,,不赞成 (n.),,,
spontaneous,spɒn'teɪniəs,,自发的， 无意识的； 自然的， 天真率直的 (adj.),,,
remote,rɪ'məut,,遥远的， 偏僻的； 关系疏远的； 脱离的； 绝少的； 微乎其微的； 孤高的， 冷淡的 (adj.),,,
cafeteria,ˌkæfə'tɪəriə,,自助餐馆， 自助食堂 (n.),,,
rupture,'rʌptʃə,,破裂 (v.)；破裂，裂开；决裂，断绝 (n.),,,
wreck,rek,,失事，残骸；精神或身体已垮的人 (n.)；破坏 (vt.),,,
virgin,'vɜːdʒɪn,,未经开发的， 未经使用的， 未经触动的； 处女的 (adj.)；处女，未婚女子 (n.),,,
afflict,ə'flɪkt,,使苦恼， 折磨 (vt.),,,
reproach,rɪ'prəutʃ,,责备， 批评 (n&vt.),,,
fluctuate,'flʌktʃueɪt,,波动， 涨落， 起伏 (vi.),,,
compartment,kəm'pɑːtmənt,,卧车包房， 隔间； 分隔的空间 (n.),,,
gloomy,'gluːmi,,忧郁的， 沮丧的； 令人沮丧的； 昏暗的， 阴沉的 (adj.),,,
kidnap,'kɪdnæp,,绑架， 诱拐 (n.),,,
warrant,'wɒrənt,,授权令；理由，根据 (n.)；证明…是正当的 (vt.),,,
calculate,'kælkjuleɪt,,计算， 推算； 计划， 打算 (v.),,,
persistent,pə'sɪstənt,,坚持不懈的， 执意的； 持续的 (adj.),,,
authorize,'ɔːθəraɪz,,授权， 批准 (vt.),,,
sake,seɪk,,缘故， 理由 (n.),,,
audience,'ɔːdiəns,,听众， 观众； 读者 (n.),,,
rehearsal,rɪ'hɜːsl,,排练， 排演 (n.),,,
sniff,snɪf,,以鼻吸气，用力吸入；嗅，闻 (v.)；吸气； 嗅， 闻 (n.),,,
narrative,'nærətɪv,,叙述文， 故事； 叙述， 讲述 (n.),,,
possess,pə'zes,,占用， 拥有 (vt.),,,
coincide,ˌkəuɪn'saɪd,,同时发生； 相符， 相一致； 位置重合， 重叠 (vi.),,,
neutral,'njuːtrəl,,中立的， 中性的 (adj.),,,
scratch,skrætʃ,,抓，搔，扒；刮擦，刻划 (v.)；抓痕， 划痕； 抓， 搔， 刮 (n.),,,
analysis,ə'næləsɪs,,分析， 分析报告； 分解， 解析 (n.),,,
devise,dɪ'vaɪz,,设计， 发明 (vt.),,,
cooperative,kəu'ɒpərətɪv,,有合作意向的，乐意合作的；合作的，协作的 (adj.)；合作社， 合作商店 (n.),,,
triple,'trɪpl,,三部分的，三方的；三倍的，三重的 (adj.)；增至三倍 (v.),,,
clutch,klʌtʃ,,企图抓住 (vi.)；抓紧，紧握 (vt.)；离合器； 掌握， 控制； 把握， 抓紧 (n.),,,
temper,'tempə,,韧度；心情，情绪 (n.)；调和， 使缓和； 回火 (vt.),,,
grope,grəup,,暗中摸索，搜索；探索，搜寻 (vi.)；摸索 (vt.),,,
rejoice,rɪ'dʒɔɪs,,感到高兴， 充满喜悦 (vi.),,,
frantic,'fræntɪk,,慌乱不安的； 发疯似的， 发狂的 (adj.),,,
tickle,'tɪkl,,发痒 (vi.)；使发痒；使高兴，逗乐 (vt.)；痒 (n.),,,
object,'ɒbdʒɪkt; -dʒekt,,反对， 不赞成 (vi.)；实物， 物体； 目的， 目标； 对象， 客体； 宾语 (n.),,,
humble,'hʌmbl,,谦逊的；地位低下的；简陋的 (adj.)；使谦恭； 使卑下 (vt.),,,
commodity,kə'mɒdəti,,商品， 货物 (n.),,,
cliff,klɪf,,悬崖， 峭壁 (n.),,,
obedient,ə'biːdɪənt,,服从的， 顺从的 (adj.),,,
infinite,'ɪnfɪnət,,无限的， 无数的 (adj.),,,
misery,'mɪzəri,,痛苦， 苦恼， 苦难； 悲惨的境遇， 贫苦 (n.),,,
blur,blɜː,,变模糊 (v.)；模糊，模糊的东西 (n.),,,
suffice,sə'faɪs,,足够 (vi.),,,
concede,kən'siːd,,让步， 认输 (vi.)；承认，承认…为真；承认失败；允许，让予 (vt.),,,
notable,'nəutəbl,,值得注意的，显著的；著名的 (adj.)；名人， 要人 (n.),,,
plausible,'plɔːzəbl,,似有道理的， 似乎正确的， 貌似可信的 (adj.),,,
