word,phonetic,pos,meaning,example,example_trans,image_url
a,ə; eɪ,art.,art. 一（个、件……）,,,
an,æn; ən,art.,art. 一（个、件……）用于元音前,,,
abandon,ə'bændən,v.,v.抛弃，舍弃，放弃,,,
ability,əˈbɪlətɪ,n.,n. 能力；才能,,,
able,'eɪb(ə)l,a.,a. 能够；有能力的,,,
abnormal,æb'nɔːrml,a.,a. 反常的，变态的,,,
aboard,ə'bɔːd,prep.,prep. 上（船，飞机，火车，汽车等）,,,
abolish,ə'bɑːlɪʃ,v.,v. 废除，废止,,,
abortion,ə'bɔːʃ(ə)n,v.,v. 人工流产，堕胎,,,
about,ə'baʊt,ad.,ad. 大约；到处；四处 prep. 关于；在各处；四处,,,
above,ə'bʌv,prep.,prep. 在……上面 a. 上面的 ad. 在……之上,,,
abroad,ə'brɔːd,ad.,ad. 到（在）国外,,,
abrupt,ə'brʌpt,a.,a. 突然的，意外的，粗鲁,,,
absence,'æbsəns,n.,n. 不在，缺席,,,
absent,ˈæbsənt;(for v.)əbˈsent,a.,a. 缺席， 不在,,,
absolute,'æbsəluːt,a.,a. 完全，全部，绝对的,,,
absorb,əb'sɔːrb,v.,v. 吸收，使全神贯注,,,
abstract,'æbstrækt,a.,a./ n. 抽象的（作品）,,,
absurd,əb'sɜːrd,a.,a.荒谬的，怪诞不经的,,,
abundant,ə'bʌndənt,a.,"a.大量,丰盛的,充裕的",,,
abuse,ə'bjuːz,v.,"v.（酗酒）滥用,虐待,恶语",,,
academic,ˌækə'demɪk,a.,a. / n. 学术的，教学的,,,
academy,ə'kædəmi,n.,"n.专科学院,（美）私立学校",,,
accelerate,ək'seləreɪt,v.,v.（使）加速，加快,,,
accent,'æks(ə)nt; -sent,n.,n. 口音，音调,,,
accept,əkˈsept,vt.,vt. 接受,,,
access,'ækses,n.,n. / v. 通道，入径，存取（计算机文件）,,,
accessible,ək'sesəbl,a.,a. 可到达的，可接受的，易相处的）,,,
accident,'æksɪdənt,n.,n. 事故，意外的事,,,
accommodation,əkɒmə'deɪʃ(ə)n,n.,n.住宿，膳宿,,,
accompany,ə'kʌmpəni,v.,v. 陪同，陪伴，与…同时发生,,,
accomplish,ə'kɑːmplɪʃ,v.,v. 完成,,,
according to,əˈkɔːdɪŋ tʊ,ad.,ad. 按照，根据,,,
account,ə'kaunt,n.,n. 账目;描述,,,
accountant,ə'kaʊnt(ə)nt,n.,n. 会计，会计师,,,
accumulate,ə'kjuːmjəleɪt,v.,v. 积累，积聚,,,
accuracy,'ækjərəsi,n.,n. 准确，精确,,,
accuse,ə'kjuːz,v.,"v. 正确无误的,精确的",,,
accustomed,ə'kʌstəmd,a.,"a. 习惯于,惯常的",,,
ache,eɪk,vi.,vi.& n. 痛，疼痛,,,
achieve,ə'tʃiːv,vt.,vt. 达到，取得,,,
achievement,ə'tʃiːvm(ə)nt,n.,"n. 成就,成绩,功绩",,,
acid,'æsɪd,a.,a. 酸的,,,
acknowledge,ək'nɑːlɪdʒ,v.,v. 承认,,,
acquaintance,ə'kweɪnt(ə)ns,n.,n. 熟人，（与某人）认识,,,
acquire,ə'kwaɪər,v.,v. 获得，得到,,,
acquisition,ˌækwɪ'zɪʃn,n.,n. 获得，得到,,,
acre,'eɪkə,n.,n. 英亩,,,
across,ə'krɒs,prep.,prep. 横过，穿过,,,
act,ækt,n.,n. 法令，条例 v. （戏）表演，扮演（角色），演出（戏）；行动，做事,,,
action,'ækʃ(ə)n,n.,n. 行动,,,
active,'æktɪv,a.,a. 积极的，主动的,,,
activity,ækˈtɪvətɪ,n.,n. 活动,,,
actor,'æktə,n.,n. 男演员,,,
actress,'æktrɪs,n.,n. 女演员,,,
actual,'æktʃʊəl; -tjʊəl,a.,a. 实际的； 现实的,,,
acute,,a.,"a.十分严重的,（病）急性的",,,
AD,,n.,n. 公元,,,
adapt,ə'dæpt,v.,v. 使适应，适合，改编,,,
adaptation,ædəp'teɪʃ(ə)n,n.,n. 适应，改编本,,,
add,æd,vt.,vt.添加，增加,,,
addicted,ə'dɪktɪd,a.,a. 上瘾，成瘾，入迷,,,
addition,ə'dɪʃn,n.,n.增加;（算数用语）加,,,
address,ə'dres,n.,n. 地址,,,
adequate,'ædɪkwət,a.,a. 合适的，合乎需要的,,,
adjust,ə'dʒʌst,v.,"v.调整,调节,适应,习惯",,,
adjustment,ə'dʒʌs(t)m(ə)nt,n.,n. 调整，适应,,,
administration,ədmɪnɪ'streɪʃ(ə)n,n.,"n.管理,行政部门",,,
admirable,'ædm(ə)rəb(ə)l,a.,"a.值得赞赏的,可钦佩的",,,
admire,əd'maɪər,v.,v. 钦佩；羡慕,,,
admission,əd'mɪʃn,n.,"n. 准入, 接纳",,,
admit,əd'mɪt,vt.,vt. 承认，准许（入场，入学，入会）,,,
adolescence,ˌædə'lesns,n.,n. 青春，青春期,,,
adolescent,ædə'les(ə)nt,n.,n. 青少年,,,
adopt,ə'dɑːpt,v.,v. 收养，领养,,,
adore,ə'dɔː,v.,v. （不用于进行时）热爱，爱慕某人,,,
adult,'ædʌlt; ə'dʌlt,n.,n. 成年人,,,
advance,əd'væns,v.,v. 推进，促进；前进,,,
advantage,əd'vɑːntɪdʒ,n.,n. 优点； 好处,,,
adventure,əd'ventʃə,n.,n. 冒险； 奇遇,,,
advertise,'ædvərtaɪz,vt.,vt. 为……做广告,,,
advertisement,əd'vɜːtɪzm(ə)nt; -tɪs-,n.,n. 广告,,,
advice,əd'vaɪs,n.,n. 忠告，劝告，建议,,,
advise,əd'vaɪz,vt.,vt. 忠告，劝告，建议,,,
advocate,'ædvəkeɪt；-ət,v.,v. 拥护，支持，提倡,,,
aeroplane,'eərəpleɪn,n.,n. (英)飞机,,,
affair,ə'feə,n.,n. 事，事情,,,
affect,ə'fekt,vt.,vt. 影响,,,
affection,ə'fekʃn,n.,n. 喜爱，钟爱,,,
afford,ə'fɔːd,vt.,vt. 负担得起（……的费用）；抽得出（时间）；提供,,,
afraid,ə'freɪd,a.,a. 害怕的；担心,,,
Africa,'æfrɪkə,,* n. 非洲,,,
African,'æfrɪk(ə)n,a.,a. 非洲的，非洲人的 n. 非洲人,,,
after,'ɑːftə,,r ad. 在后；后来prep. 在…之后；在 后面 conj. 在…以后,,,
afternoon,ɑːftə'nuːn,n.,n. 下午，午后,,,
