word,phonetic,pos,meaning,example,example_trans,image_url
account,əˈkaʊnt,n.,n. 账户；解释；账目，账单；理由；描述；vt. 认为；把…视为；vi. 解释；导致；报账,,,
accountants,,,会计人员,,,
accountable,əˈkaʊntəbl,adj.,adj. 有责任的；有解释义务的；可解释的,,,
advertising,ˈædvətaɪzɪŋ,n.,n. 广告；广告业；登广告；adj. 广告的；广告业的；v. 公告；为…做广告（advertise的ing形式）,,,
advertisements,,n.,n. [经] 广告（advertisement的复数）；宣传,,,
ages,ˈeɪdʒɪz,abbr.,abbr. 晚期糖基化终末产物（Advanced Glycation End Products）,,,
aging,ˈeɪdʒɪŋ,n.,n. 老化；陈化，熟化,,,
alarms,,n.,n. [安全] 警报；[安全] 警报器；闹钟（alarm的复数形式）；v. 警告；使恐慌（alarm的第三人称单数）,,,
alarming system,,,无,,,
air,eə(r),n.,n. 空气，大气；天空；样子；曲调；vt. 使通风，晾干；夸耀；vi. 通风,,,
air-condition,"'εəkən,diʃən",n.,n. 空调；空调器；vt. 用空调调节；给...装上空调,,,
airline,ˈeəlaɪn,n.,n. 航空公司；航线；adj. 航线的,,,
airplane,ˈeəpleɪn,n.,n. 飞机,,,
air pump,,n.,n. 抽气泵；抽气机,,,
air pollution,,na.,na. 大气污染,,,
air quality,,n.,n. 空气质量,,,
airports,,n.,n. 航空站，机场，航空港( airport的名词复数 ),,,
animals,'ænɪmlz,n.,n. [动] 动物，动物世界；牲畜（animal的复数形式）,,,
animals behavior,,,无,,,
animals life,,,无,,,
arts,a:ts,n.,n. 文科,,,
art gallery,,n.,n. 美术馆；艺术展览馆,,,
artists,,n.,n. 艺术家，设计师（artist的复数）,,,
back,bæk,n.,n. 后面；背部；靠背；足球等的后卫；书报等的末尾；adj. 后面的；过去的；拖欠的；vt. 支持；后退；背书；下赌注；adv. 以前；向后地；来回地；上溯；回来；回原处；vi. 后退；背靠；倒退,,,
back problem,,,无,,,
back door,,n.,n. 后门；边门,,,
back wheel,,un.,un. 后轮,,,
background,ˈbækɡraʊnd,n.,n. 背景；隐蔽的位置；adj. 背景的；发布背景材料的；vt. 作…的背景,,,
background music,,un.,un. 本底谐音；背景时乐；背景音乐,,,
balcony,ˈbælkəni,n.,n. 阳台；包厢；戏院楼厅,,,
bath,bɑːθ,n.,n. 沐浴；浴室；浴盆；vt. 洗澡；vi. 洗澡,,,
bathrooms,ˈbɑːθˌruːmz,n.,n. 浴室( bathroom的名词复数 ); 盥洗室; （带抽水马桶的）厕所; 卫生间,,,
beach,biːtʃ,n.,n. 海滩；湖滨；vt. 将…拖上岸；vi. 搁浅；定居,,,
birds,bɝdz,n.,n. [鸟] 鸟类；禽（bird的复数）；v. 打鸟；观察研究野鸟；起哄（bird的三单形式）,,,
bird park,,,无,,,
bird-watching,,n.,n. 观察研究野鸟,,,
