word,phonetic,pos,meaning,example,example_trans,image_url
embrace,ɪmˈbreɪs,v.,v. 拥抱，抱；欣然接受，乐于接受；包含，包括；n. 拥抱,,,
embed,ɪmˈbed,v.,v. 嵌入，埋入；使深深印入（记忆、头脑等）；使（某人）成为（组织的）一部分,,,
embody,ɪmˈbɒdi,v.,v. 体现，使具体化；包含，包括；使personified,,,
embryo,ˈembriəʊ,n.,n. 胚胎，胚芽；事物的萌芽阶段,,,
elicit,ɪˈlɪsɪt,v.,v. 引出，探出，诱出（回答、反应等）,,,
elite,ɪˈliːt,n.,n. 精英，精华，上层人物；adj. 精英的，优秀的，卓越的,,,
elsewhere,ˌels'weə,adv.,adv. 在别处，到别处,,,
thirst,θɜːst,n.,n. 口渴，渴；渴望，热望；v. 渴望，热望,,,
thorough,ˈθʌrə,adj.,adj. 彻底的，完全的；细致的，周密的,,,
though,ðəʊ,conj.,conj. 尽管，虽然；adv. 然而，不过,,,
thought,θɔːt,n.,n. 想法，思想；思考，思维；关心，考虑；意图，打算；v. think的过去式和过去分词,,,
thoughtful,ˈθɔːtfl,adj.,adj. 体贴的，关心他人的；深思熟虑的，考虑周到的；沉思的，陷入沉思的；若有所思的,,,
threat,θret,n.,n. 威胁，恐吓；威胁，危险,,,
threaten,ˈθretn,v.,v. 威胁，恐吓；预示（危险或不幸）；有...的危险，可能发生,,,
update,ʌpˈdeɪt,v.,v. 更新，使现代化；更新（信息、知识等），使最新；n. 更新，最新消息；更新版，升级版,,,
upgrade,ˈʌpɡreɪd,v.,v. 提升，升级；改善，提高质量；n. 升级，提升；（设备、系统等的）升级版,,,
uphold,ʌpˈhəʊld,v.,v. 支持，维护；举起，抬起；维持，确认（判决等）,,,
upset,ʌpˈset,v.,v. 使心烦意乱，使不安；打乱，扰乱；使翻倒，打翻；adj. 心烦意乱的，不安的；n. 混乱，不安,,,
up-to-date,ˌʌp tə ˈdeɪt,adj.,adj. 最新的，最近的，现代的；最新的，最近的，跟上时代的，与时俱进的,,,
ventilate,ˈventɪleɪt,v.,v. 通风，使空气流通；公开讨论，表达（想法、感受等）,,,
venture,ˈventʃə(r),n.,n. 冒险；风险；企业；商业冒险；v. 冒险；大胆行事；敢于；冒险说,,,
widespread,ˈwaɪdspred,adj.,adj. 广泛的，普遍的；分布广的，广泛存在的,,,
win,wɪn,v.,v. 赢，获胜；赢得，获得；n. 胜利，成功,,,
wit,wɪt,n.,n. 机智，聪明；幽默感；智力，才智；机智的人,,,
withdraw,wɪðˈdrɔː,v.,v. 撤回，收回；取钱，提款；退出，离开；撤退,,,
witness,ˈwɪtnəs,n.,n. 目击者，证人；见证人，连署人；证据，证明；v. 目击，看到；证明，为...作证,,,
inaugurate,ɪˈnɔːɡjəreɪt,v.,v. 开始，开创；为...举行就职典礼，使就职；为...举行落成典礼，为...举行开幕式,,,
incentive,ɪnˈsentɪv,n.,n. 激励；刺激；动机,,,
incidence,ˈɪnsɪdəns,n.,n. 发生率，发病率；影响范围；入射角,,,
incident,ˈɪnsɪdənt,n.,n. 事件，事故；插曲，插话；军事冲突,,,
incidentally,ˌɪnsɪˈdentəli,adv.,adv. 顺便说一句，附带地,,,
incline,ɪnˈklaɪn,v.,v. 倾向于，易于；使倾斜，使倾向；n. 斜坡，倾斜；倾向，意向,,,
academic,ˌækəˈdemɪk,adj.,adj. 学术的，教学的；理论的，学院派的；n. 大学教师，学者,,,
academy,əˈkædəmi,n.,n. 学院，研究院；专科学校；学会，协会,,,
accelerate,əkˈseləreɪt,v.,v. 加速，加快；促进，加速(过程、变化等),,,
accept,əkˈsept,v.,v. 接受，同意；承认，认可；容忍，忍受,,,
acceptance,əkˈseptəns,n.,n. 接受，接纳；承认，认可；同意，赞同；接受（邀请、提议等）；（票据等的）承兑,,,
access,ˈækses,n.,n. 通道，入口；使用权，接近的机会；接近；获取；使用；v. 接近；进入；使用；访问（计算机文件）,,,
accessory,əkˈses.ər.i,n.,n. 配件，附件；装饰品；从犯，同谋；adj. 附属的，辅助的,,,
begin,bɪˈɡɪn,v.,v. 开始，开端；着手，开始从事；开始存在；起源于,,,
beginning,bɪˈɡɪnɪŋ,n.,n. 开始，开端；起源，开端；adj. 初级的，初始的,,,
behalf,bɪˈhɑːf,n.,n. 利益，好处；代表，名义,,,
behave,bɪˈheɪv,v.,v. 表现，举止；运转，运行（指机器等）,,,
behavior,bɪˈheɪvjə(r),n.,n. 行为，举止；表现，举止；(动物的)习性；(事物的)特性，性能；(群体的)行为方式,,,
behaviour,bɪˈheɪvjə(r),n.,n. 行为，举止；态度，表现,,,
belief,bɪˈliːf,n.,n. 信念，信仰；观点，看法；信念体系,,,
believe,bɪˈliːv,v.,v. 相信，认为是真的；认为，以为；信任，相信；相信（宗教等）,,,
belong,bɪˈlɒŋ,v.,v. 属于；应归入；适合；应该在某处；归属；是…的成员；与…有关系,,,
beneficial,ˌbenɪˈfɪʃl,adj.,adj. 有益的，有利的,,,
benefit,ˈbenɪfɪt,n.,n. 好处，益处，优势；救济金，保险金，津贴；v. 有益于，使受益,,,
benevolent,bɪˈnevələnt,adj.,adj. 仁慈的，善良的，乐善好施的,,,
benign,bɪˈnaɪn,adj.,adj. 良性的，无害的；和蔼的，温和的；良性的，无害的；和蔼的，温和的；有利的，有益的,,,
challenge,ˈtʃælɪndʒ,n.,n. 挑战，难题；质疑，异议；v. 向...挑战，质疑；考验，刺激,,,
chance,tʃɑːns,n.,n. 机会，可能性；运气，偶然；v. 冒险，碰运气,,,
change,tʃeɪndʒ,n.,n. 变化，改变；零钱；替换物；v. 改变，使变化；更换，交换；换乘（交通工具）,,,
channel,ˈtʃænl,n.,n. 海峡，水道；电视频道；途径，渠道；通道，管道；频道，波段；v. 引导，传送；集中（思想、精力等）,,,
character,ˈkærəktə(r),n.,n. 人物，角色；特点，特征；品质，品格；文字，字符；（小说、戏剧中的）人物；性格，个性；名誉，声望,,,
characterise,ˈkærəktəraɪz,v.,v. 描述...的特征；刻画；表征,,,
characterize,ˈkærəktəraɪz,v.,v. 描述，刻画；成为...的特征，是...的典型,,,
characteristic,ˌkærəktəˈrɪstɪk,adj.,adj. 典型的，特有的；n. 特征，特点,,,
defend,dɪˈfend,v.,v. 保护，防卫；为...辩护，为...辩解；防守（在体育运动中）,,,
define,dɪˈfaɪn,v.,v. 下定义，解释；规定，确定；使明确，阐明；描述，刻画,,,
definite,ˈdefɪnət,adj.,adj. 明确的，清楚的；肯定的，确定的；有限的，限定的；精确的，确切的,,,
definition,ˌdefɪˈnɪʃn,n.,n. 定义，释义；清晰度，明确性；界限，边界,,,
defy,dɪˈfaɪ,v.,v. 公然反抗，违抗；蔑视，藐视；使不可能，使难以做到；经受住，顶住,,,
degree,dɪˈɡriː,n.,n. 程度，度数；学位；等级，级别；角度；度（温度、经纬度等单位）,,,
delay,dɪˈleɪ,n.,n. 延迟，耽搁；延期，拖延；v. 延迟，推迟；使延期，使延迟,,,
deliberate,dɪˈlɪbərət,adj.,adj. 故意的，蓄意的；深思熟虑的，慎重的；v. 仔细考虑，深思；商议，讨论,,,
delicate,ˈdelɪkət,adj.,adj. 易碎的，脆弱的；精致的，精巧的；微妙的，棘手的；娇嫩的，纤弱的；敏感的，易受影响的,,,
deliver,dɪˈlɪvə(r),v.,v. 递送，传送；发表（演讲），宣布（判决）；实现，履行（诺言等）；接生，助产,,,
delivery,dɪˈlɪvəri,n.,n. 递送，投递；分娩，生产；演讲方式，表达方式；交付，传送；发表，表达,,,
fiction,ˈfɪkʃn,n.,n. 小说，虚构的故事；虚构，杜撰；想象,,,
field,fiːld,n.,n. 田地，场地；领域，范围；运动场；(作战)战场；专业，学科；磁场，电场；视野，视场；v. 接球，处理；应对，处理（问题等）,,,
fierce,fɪəs,adj.,adj. 凶猛的，猛烈的；激烈的，强烈的；热情的，强烈的；非常好的，出色的,,,
fight,faɪt,v.,v. 打架，争斗；战斗，作战；抗争，反抗；竞争，争夺；克服，战胜（困难等）；n. 打架，斗殴；战斗，战争；争论，争吵；比赛，竞赛,,,
figure,ˈfɪɡə(r),n.,n. 数字；人物；身材；图形；数据；数值；人物；角色；体型；身材；v. 认为；计算；推断；出现,,,
finance,faɪˈnæns,n.,n. 财政，金融；资金，财务；v. 为...提供资金，筹措资金,,,
financial,faɪˈnænʃl,adj.,adj. 财政的，金融的；财务的，财经的,,,
finding,ˈfaɪndɪŋ,n.,n. 发现，发现物；调查结果，研究结论；裁决，判决,,,
finite,ˈfaɪnaɪt,adj.,adj. 有限的，有限制的；有穷的，可数的,,,
firm,fɜːm,adj.,adj. 坚固的，结实的；坚定的，坚决的；稳固的，稳定的；坚决的，严格的；n. 公司，商行；adv. 稳固地，坚定地；v. 使坚固，使稳固,,,
first,fɜːst,adj.,adj. 第一的，最初的；首要的，最重要的；adv. 首先，第一；n. 第一，开始；第一名，第一流的人或物,,,
fit,fɪt,v.,v. 适合，合身；安装，装配；使适合，使适应；adj. 健康的，健全的；适合的，恰当的,,,
global,ˈɡləʊbl,adj.,adj. 全球的，全世界的；全面的，总体的；整体的，全局的,,,
globe,ɡləʊb,n.,n. 地球；地球仪；球体；球状物,,,
radiate,ˈreɪdieɪt,v.,v. 辐射，发出（光、热等）；流露，散发（感情、气质等）；从中心向四周伸展或散开,,,
radiant,ˈreɪdiənt,adj.,adj. 发光的，光芒四射的；容光焕发的，喜气洋洋的；辐射的，放射的,,,
radical,ˈrædɪkl,adj.,adj. 根本的，基本的；彻底的，完全的；激进的，极端的；n. 激进分子；根号；词根,,,
object,ˈɒbdʒɪkt,n.,n. 物体，实物；目标，对象；目的，宗旨；对象，客体；反对的理由；v. 反对，不赞成,,,
objective,əbˈdʒektɪv,adj.,adj. 客观的，如实的；客观存在的，实际的；n. 目标，目的；（望远镜、显微镜等的）物镜,,,
objection,əbˈdʒekʃn,n.,n. 反对，异议；反对的理由，异议的缘由；（法律）异议，反对,,,
obligation,ˌɒblɪˈɡeɪʃn,n.,n. 义务，责任；债务，欠款；恩义，人情,,,
oblige,əˈblaɪdʒ,v.,v. 迫使，强制；使感激，施恩于；帮助，效劳,,,
obscure,əbˈskjʊə(r),adj.,adj. 不清楚的，模糊的；鲜为人知的，默默无闻的；难以理解的，晦涩的；v. 使模糊，使难以理解；遮掩，掩盖,,,
observation,ɒbzəˈveɪʃn,n.,n. 观察，观测；观察结果，观察所得；言论，评论；遵守，奉行,,,
observe,əbˈzɜːv,v.,v. 观察，注意到；遵守，奉行；评论，说,,,
obsession,əbˈseʃn,n.,n. 痴迷，着魔；挥之不去的想法，强迫观念,,,
obsolete,ˈɒbsəliːt,adj.,adj. 过时的，废弃的，淘汰的；v. 使过时，使废弃,,,
obtain,əbˈteɪn,v.,v. 获得，得到；存在，流行,,,
obvious,ˈɒbviəs,adj.,adj. 明显的，显而易见的；显而易见的，昭然若揭的；不加掩饰的，公然的,,,
ideal,aɪˈdɪəl,adj.,adj. 理想的，完美的；想象的，空想的；n. 理想，完美的典范,,,
ideology,ˌaɪdɪˈɒlədʒi,n.,n. 意识形态，思想体系；观念学，思想体系；意识形态学,,,
identical,aɪˈden.tɪ.kəl,adj.,adj. 完全相同的，一模一样的,,,
identification,aɪˌdentɪfɪˈkeɪʃn,n.,n. 识别，鉴定；身份证明；认同，共鸣；等同,,,
identify,aɪˈdentɪfaɪ,v.,v. 认出，识别；确认，鉴定；找出，发现；把...等同于，认为...等同于；认同，感同身受,,,
identity,aɪˈden.tə.ti,n.,n. 身份，特性；同一性，一致；身份认同；个性，个人特征,,,
journal,ˈdʒɜːnl,n.,n. 日记，日志；期刊，杂志；分类账；v. 记日记，写日志,,,
journalist,ˈdʒɜːnəlɪst,n.,n. 新闻记者，新闻工作者,,,
journey,ˈdʒɜːni,n.,n. 旅行，旅程；历程，过程；v. 旅行，长途跋涉,,,
judge,dʒʌdʒ,n.,n. 法官；裁判员；评判员；鉴定人；v. 判断；评判；审判；判决,,,
judgment,ˈdʒʌdʒmənt,n.,n. 判断，判断力；意见，看法；判决，裁决；审判；判断力；识别力；鉴赏力；见解,,,
judgement,ˈdʒʌdʒmənt,n.,n. 判断，判断力；意见，看法；判决，裁决,,,
judicial,dʒuːˈdɪʃl,adj.,adj. 司法的，法律的；审判的，判决的；公正的，明智的,,,
jury,ˈdʒʊəri,n.,n. 陪审团；评审团,,,
jurisdiction,ˌdʒʊərɪsˈdɪkʃən,n.,n. 管辖权，司法权；管辖范围，司法管辖区；权限，权力,,,
justice,ˈdʒʌstɪs,n.,n. 公正，正义；司法，法律制度；法官，司法官,,,
justify,ˈdʒʌstɪfaɪ,v.,v. 证明...是正当的，为...辩护；证明...是正确的，证实；调整版面使...左右对齐,,,
label,ˈleɪbl,n.,n. 标签，标记；（商品的）商标，标识；（公司的）品牌；v. 贴标签于，标记；把…称为，把…归类为,,,
lag,læɡ,v.,v. 落后，滞后；延迟，拖延；n. 滞后，延迟,,,
largely,ˈlɑːdʒli,adv.,adv. 大部分地，主要地；很大程度上，基本上,,,
lateral,ˈlætərəl,adj.,adj. 侧面的，横向的；旁边的，侧面的；n. 侧枝，侧根,,,
latter,ˈlætə(r),adj.,adj. 后者的，后面的；n. 后者,,,
law,lɔː,n.,n. 法律，法规；规律，定律；法学，法律学,,,
lawsuit,ˈlɔːsuːt,n.,n. 诉讼，法律诉讼,,,
magnitude,ˈmæɡnɪtjuːd,n.,n. 大小，规模；重要性，重大；量级；星等（天文学）,,,
magnify,ˈmæɡnɪfaɪ,v.,v. 放大，扩大；夸大，夸张；使加强，使增强,,,
magnificent,mæɡˈnɪfɪsnt,adj.,adj. 壮丽的，宏伟的；令人印象深刻的；极好的，极出色的；华丽的，豪华的,,,
maintain,meɪnˈteɪn,v.,v. 保持，维持；维修，保养；坚持（观点等）；抚养，赡养；维护，保卫,,,
maintenance,ˈmeɪntənəns,n.,n. 维护，保养；维持，保持；生活费用，赡养费,,,
major,ˈmeɪdʒə(r),adj.,adj. 主要的，重要的；较大的，主要的；n. 主修科目，专业；少校；v. 主修，专攻,,,
majority,məˈdʒɒrəti,n.,n. 大多数，多数；多数票，大部分；成年，法定年龄,,,
make,meɪk,v.,v. 制造，做；使成为，使变得；赚(钱)；使产生，引起；组成，构成；准备，制定；认为，相信；达到，获得；迫使，强迫；n. 品牌，型号,,,
theme,θiːm,n.,n. 主题，主旨；主题曲，主旋律；主题公园，主题餐厅等；v. 以…为主题，使有特色,,,
theory,ˈθɪəri,n.,n. 理论，学说；推测，猜想；原理，原则,,,
theoretical,θɪəˈretɪkl,adj.,adj. 理论的，理论上的；假设的，假定的；纯理论的，不切实际的,,,
therapy,ˈθerəpi,n.,n. 治疗，疗法,,,
qualification,ˌkwɒlɪfɪˈkeɪʃn,n.,n. 资格，资历；条件，资格；限定，限制；学历，文凭；资质，能力；限制性说明，保留意见,,,
qualify,ˈkwɒlɪfaɪ,v.,v. 使具有资格，使合格；限定，修饰；证明…合格；使具有资格；限制，约束；使减轻,,,
quality,ˈkwɒləti,n.,n. 质量，品质；特性，特质；adj. 优质的，高品质的,,,
qualitative,ˈkwɒlɪtətɪv,adj.,adj. 质的，性质的；定性的,,,
safeguard,ˈseɪfɡɑːd,n.,n. 保护措施，安全措施；v. 保护，捍卫,,,
safety,ˈseɪfti,n.,n. 安全，安全性；平安，无危险；保险装置，安全设备,,,
savage,ˈsævɪdʒ,adj.,adj. 野蛮的，未开化的；凶猛的，残暴的；严厉的，尖刻的；n. 野蛮人，未开化的人；v. 凶猛攻击，激烈抨击,,,
save,seɪv,v.,v. 保存，储存；节省；拯救，挽救；避免，防止；保护，保留；prep. 除...之外；conj. 除非，不然,,,
saving,ˈseɪvɪŋ,n.,n. 节省，节约；储蓄，存款；adj. 节省的，节约的；挽救的，拯救的；prep. 除...之外；要不是,,,
scale,skeɪl,n.,n. 鳞片；刻度；比例；天平；规模；音阶；v. 攀登；称重；缩放；按比例变化；扩大规模,,,
scene,siːn,n.,n. 场景，景象；舞台，布景；事件，情景；场面，镜头；圈子，界，领域,,,
scenery,ˈsiːnəri,n.,n. 风景，景色；舞台布景,,,
pace,peɪs,n.,n. 步伐，步速；速度，进度；一步的距离；v. 踱步；以一定步调行走；prep. 不同于，违背,,,
panel,ˈpænl,n.,n. 嵌板，镶板；仪表盘，控制面板；专门小组，专家组；v. 嵌镶板，镶嵌板；组成专门小组,,,
panorama,pænəˈrɑːmə,n.,n. 全景，全景图；概观，综述,,,
prove,pruːv,v.,v. 证明，证实；证明是，结果是；检验，考验,,,
provide,prəˈvaɪd,v.,v. 提供，供给；规定，约定；为...作准备,,,
provided,prəˈvaɪdɪd,v.,v. 提供，供给；规定，约定；conj. 如果，假如,,,
tow,təʊ,v.,v. 拖引，拉动（尤指车辆）；n. 拖引，牵引；被拖引的物体,,,
toward,təˈwɔːd,prep.,prep. 朝，向；对...的；接近，将近；为了；关于；对...有助于,,,
towards,təˈwɔːdz,prep.,prep. 朝，向，面对；对，关于；接近，将近；有助于，为了；对...的态度，关于,,,
take,teɪk,v.,v. 拿，取；花费（时间、金钱等）；服用（药物）；乘坐（交通工具）；带，携带；接受，承担；占据（空间、时间）；选择，采取（行动、措施）；认为，相信；拍摄，拍照；夺取，占领；承受，忍受；n. 收入，进款；观点，看法,,,
