word,kana,pos,meaning,example,example_trans,image_url
次々,つぎつぎ,,接二连三，一个接一个,,,
囲む,かこむ,,包围，包围,,,
公平,こうへい,,公平、公正、公正,,,
発表,はっぴょう,,公告、刊物,,,
日曜,にちよう,,星期日,,,
表,ひょう,,表格（例如表1），图表，列表,,,
正午,しょうご,,中午，中午,,,
教科書,きょうかしょ,,教科书,,,
丘,おか,,山，高，丘，上升地面,,,
種類,しゅるい,,品种，种类，类型,,,
ブレーキ,ブレーキ,,刹车,,,
発見,はっけん,,发现、检测、查找,,,
飯,めし,,（sl） 膳食，食品,,,
発行,はっこう,,问题（出版物）,,,
わざと,わざと,,故意,,,
渋滞,じゅうたい,,拥堵（如交通）、延误、停滞,,,
船,ふね,,船，船，船只，航运，船只，轮船,,,
上,うえ,,（1）第一卷，（2）质量上乘，（3）政府,,,
先日,せんじつ,,前几天，几天前,,,
本物,ほんもの,,正品,,,
現れる,あらわれる,,（1）显现，显现，显现，（2）表达自己,,,
結ぶ,むすぶ,,打结，绑定，链接,,,
恋人,こいびと,,情人，甜心,,,
活用,かつよう,,共轭，实际使用,,,
地,ち,,地球,,,
宇宙,うちゅう,,宇宙，宇宙，空间,,,
ライター,ライター,,打火机，骑手，作家,,,
消費,しょうひ,,消费，支出,,,
成人,せいじん,,成人,,,
科目,かもく,,（学校） 学科，课程，课程,,,
追い付く,おいつく,,要超车，要追赶（跟）,,,
休憩,きゅうけい,,休息，休息，休息，中场休息,,,
基,もと,,基础,,,
飛び出す,とびだす,,跳出去，冲出去，飞出去,,,
芽,め,,发芽,,,
負け,まけ,,失败，失败，失败（一场比赛）,,,
無事,ぶじ,,安全、和平、安静,,,
会計,かいけい,,会计，财务，会计,,,
最も,もっとも,,最，极,,,
構成,こうせい,,组织、组成,,,
県,けん,,府,,,
招待,しょうたい,,邀请,,,
皿,さら,,盘子，盘子,,,
承知,しょうち,,同意，接受，同意，承认,,,
金庫,きんこ,,保险箱，金库，金库，资金提供者,,,
影響,えいきょう,,影响，效果,,,
方々,かたがた,,人，这个那个，这里和那里，无处不在,,,
免許,めんきょ,,执照，许可证，执照，证书,,,
担当,たんとう,,（in） 收费,,,
すみません,すみません,,对不起，对不起,,,
板,いた,,板，板,,,
撃つ,うつ,,攻击，击败，摧毁,,,
夜中,よなか,,午夜，夜深人静,,,
砂漠,さばく,,沙漠,,,
匂い,におい,,气味，气味，气味，恶臭,,,
スピーチ,スピーチ,,演讲,,,
明確,めいかく,,清理，澄清，定义,,,
診察,しんさつ,,体检,,,
騒ぎ,さわぎ,,喧嚣，骚乱,,,
中止,ちゅうし,,暂停、停工、中止、中断,,,
時期,じき,,时间，季节，期间,,,
性格,せいかく,,性格，个性,,,
貯金,ちょきん,,（银行）储蓄,,,
おしゃべり,おしゃべり,,喋喋不休，谈话，闲聊,,,
愛する,あいする,,去爱,,,
障害,しょうがい,,障碍物、障碍物（故障）、损坏,,,
